n; phi; Abs; Rel
5;1,625;0,006966;0,43052
6;1,615384615;0,0026494;0,16374
7;1,619047619;0,0010136;0,062646
8;1,617647059;0,00038693;0,023914
9;1,618181818;0,00014783;0,0091364
10;1,617977528;5,65E-05;0,0034895
11;1,618055556;2,16E-05;0,0013329
12;1,618025751;8,24E-06;0,00050912
13;1,618037135;3,15E-06;0,00019447
14;1,618032787;1,20E-06;7,43E-05
15;1,618034448;4,59E-07;2,84E-05
16;1,618033813;1,75E-07;1,08E-05
17;1,618034056;6,70E-08;4,14E-06
18;1,618033963;2,56E-08;1,58E-06
19;1,618033999;9,77E-09;6,04E-07
20;1,618033985;3,73E-09;2,31E-07
21;1,61803399;1,43E-09;8,81E-08
22;1,618033988;5,45E-10;3,37E-08
23;1,618033989;2,08E-10;1,29E-08
24;1,618033989;7,95E-11;4,91E-09
25;1,618033989;3,03E-11;1,88E-09
26;1,618033989;1,16E-11;7,16E-10
27;1,618033989;4,43E-12;2,74E-10
28;1,618033989;1,69E-12;1,05E-10
29;1,618033989;6,46E-13;3,99E-11
30;1,618033989;2,47E-13;1,52E-11
31;1,618033989;9,41E-14;5,82E-12
32;1,618033989;3,60E-14;2,22E-12
33;1,618033989;1,38E-14;8,51E-13
34;1,618033989;5,33E-15;3,29E-13
35;1,618033989;2,00E-15;1,24E-13
36;1,618033989;8,88E-16;5,49E-14
37;1,618033989;2,22E-16;1,37E-14
38;1,618033989;2,22E-16;1,37E-14
39;1,618033989;0;0
40;1,618033989;0;0
41;1,618033989;0;0
42;1,618033989;0;0
43;1,618033989;0;0
44;1,618033989;0;0
;;;
95;1,618033885;1,03E-07;6,39E-06
96;1,618034626;6,37E-07;3,94E-05
97;1,61803345;5,39E-07;3,33E-05
98;1,618033738;2,51E-07;1,55E-05
99;1,618034085;9,58E-08;5,92E-06
100;1,618034127;1,38E-07;8,52E-06
;;;
992;1,618033638;3,51E-07;2,17E-05
993;1,618034123;1,34E-07;8,29E-06
994;1,618033938;5,12E-08;3,17E-06
995;1,618033693;2,96E-07;1,83E-05
996;1,618034589;6,00E-07;3,71E-05
997;1,618033759;2,29E-07;1,42E-05
